Time (s),x,y,z
10,0.472409784,-0.53445612,-0.373608233
22.359,0.4723642,-0.53447906,-0.373307327
34.648,0.472318616,-0.53443318,-0.373257176
46.937,0.47225024,-0.53443318,-0.373240459
59.226,0.47225024,-0.5343873,-0.373507931
71.511,0.47225024,-0.53441024,-0.37429363
83.8,0.472204656,-0.53436436,-0.37329061
96.089,0.472204656,-0.53436436,-0.373223742
108.375,0.472159072,-0.53431848,-0.373257176
120.664,0.47213628,-0.53434142,-0.373207025
132.949,0.47213628,-0.53434142,-0.373207025
145.238,0.472204656,-0.53431848,-0.373190308
157.531,0.47213628,-0.53429554,-0.373207025
169.816,0.472159072,-0.53424966,-0.373173591
182.105,0.472159072,-0.53424966,-0.373223742
194.39,0.472181864,-0.5342726,-0.373207025
206.68,0.47213628,-0.5342726,-0.373240459
218.968,0.472090696,-0.53422672,-0.373173591
231.253,0.472113488,-0.53420378,-0.373223742
243.542,0.47213628,-0.53422672,-0.373173591
255.828,0.472090696,-0.5341579,-0.37312344
268.117,0.472159072,-0.53420378,-0.373156874
280.406,0.472113488,-0.5341579,-0.373156874
292.695,0.472090696,-0.5341579,-0.373173591
304.98,0.472113488,-0.5341579,-0.373106723
317.269,0.472067904,-0.53413496,-0.373173591
329.558,0.472067904,-0.5341579,-0.373190308
341.845,0.472090696,-0.53413496,-0.373140157
354.134,0.472090696,-0.5341579,-0.373106723
366.423,0.47202232,-0.53418084,-0.373156874
378.705,0.472045112,-0.53413496,-0.373106723
390.994,0.472045112,-0.53418084,-0.37312344
403.283,0.472045112,-0.5341579,-0.373140157
415.572,0.472045112,-0.53413496,-0.373173591
427.861,0.472045112,-0.5341579,-0.373140157
440.15,0.472113488,-0.53418084,-0.373106723
452.439,0.472090696,-0.53420378,-0.373156874
464.72,0.472090696,-0.53418084,-0.37312344
477.009,0.472045112,-0.5341579,-0.373106723
489.298,0.472067904,-0.5341579,-0.373090006
501.587,0.472067904,-0.53413496,-0.373090006
513.876,0.47202232,-0.5341579,-0.37312344
526.166,0.47202232,-0.53413496,-0.373106723
538.455,0.471999528,-0.5341579,-0.373039855
550.736,0.472045112,-0.53413496,-0.373073289
563.025,0.472045112,-0.53411202,-0.373056572
575.314,0.472045112,-0.5341579,-0.373073289
587.603,0.472045112,-0.53413496,-0.373090006
599.892,0.472067904,-0.53413496,-0.373090006
612.181,0.471999528,-0.53413496,-0.373106723
624.47,0.47202232,-0.53408908,-0.37312344
636.751,0.47202232,-0.53408908,-0.373106723
649.041,0.471999528,-0.53411202,-0.373056572
661.33,0.471999528,-0.53406614,-0.373106723
673.619,0.471999528,-0.53406614,-0.373023138
685.908,0.471976736,-0.53406614,-0.373039855
698.189,0.471976736,-0.53408908,-0.373056572
710.478,0.471976736,-0.53406614,-0.373023138
722.767,0.471999528,-0.53402026,-0.372972987
735.056,0.471953944,-0.53402026,-0.372989704
747.345,0.471931152,-0.53399732,-0.373006421
759.634,0.47190836,-0.53399732,-0.373006421
771.923,0.471931152,-0.53395144,-0.372989704
784.212,0.471862776,-0.53397438,-0.373039855
796.494,0.471862776,-0.53399732,-0.372989704
808.783,0.471862776,-0.53397438,-0.373023138
821.072,0.471885568,-0.5339285,-0.372989704
833.361,0.471839984,-0.53397438,-0.373006421
845.65,0.471885568,-0.53397438,-0.373006421
857.939,0.471862776,-0.53395144,-0.373006421
870.228,0.471885568,-0.53397438,-0.37295627
882.509,0.47190836,-0.53397438,-0.372939553
894.798,0.471885568,-0.53397438,-0.372972987
907.087,0.471862776,-0.53397438,-0.372922836
919.376,0.471862776,-0.53397438,-0.37295627
931.658,0.471885568,-0.53397438,-0.372989704
943.955,0.471862776,-0.53402026,-0.372972987
956.244,0.471885568,-0.53399732,-0.372989704
968.533,0.471862776,-0.5340432,-0.372939553
980.814,0.471885568,-0.53399732,-0.372922836
993.103,0.471885568,-0.53397438,-0.372972987
1005.392,0.471839984,-0.53402026,-0.372972987
1017.673,0.471839984,-0.53397438,-0.372906119
1029.962,0.471862776,-0.53399732,-0.37295627
1042.252,0.471817192,-0.53402026,-0.37295627
1054.541,0.471817192,-0.53402026,-0.37295627
1066.83,0.471839984,-0.53399732,-0.372906119
1079.119,0.471817192,-0.53397438,-0.372922836
1091.408,0.471817192,-0.53402026,-0.37295627
1103.689,0.471817192,-0.53399732,-0.372906119
1115.978,0.471839984,-0.53399732,-0.372922836
1128.267,0.471862776,-0.53397438,-0.372872685
1140.556,0.4717944,-0.53395144,-0.372906119
1152.845,0.471771608,-0.5339285,-0.372922836
1165.134,0.471771608,-0.53395144,-0.372922836
1177.423,0.471839984,-0.53399732,-0.372922836
1189.712,0.4717944,-0.53399732,-0.372922836
1202.001,0.471748816,-0.53397438,-0.372922836
1214.283,0.471748816,-0.53397438,-0.372906119
1226.572,0.471748816,-0.53395144,-0.372872685
1238.861,0.471703232,-0.53397438,-0.372855968
1251.15,0.471703232,-0.53395144,-0.372889402
1263.439,0.471726024,-0.53397438,-0.372839251
1275.72,0.471771608,-0.53397438,-0.372922836
1288.009,0.471726024,-0.53399732,-0.372872685
1300.298,0.471726024,-0.5339285,-0.372906119
1312.587,0.471703232,-0.53395144,-0.372872685
1324.876,0.471726024,-0.53395144,-0.372872685
1337.166,0.471726024,-0.53395144,-0.372822534
1349.455,0.471726024,-0.53397438,-0.372906119
1361.736,0.471726024,-0.53390556,-0.372839251
1374.025,0.471726024,-0.5339285,-0.372872685
1386.314,0.471703232,-0.53390556,-0.372872685
1398.603,0.47168044,-0.53383674,-0.372889402
1410.892,0.471703232,-0.5338138,-0.372872685
1423.181,0.471657648,-0.5338138,-0.372839251
1435.47,0.471657648,-0.53383674,-0.372872685
