Voltage,Coil_1,Coil_2
10,0.3618,0.9323
15,0.5386,1.4014
20,0.7206,1.8674
25,0.9041,2.3422
50,1.8145,4.7239
75,2.7247,7.1873
100,3.6203,9.476
150,5.425,14.236
200,7.234,18.992
250,9.036,23.785
300,10.828,28.545
350,12.629,33.272
400,14.38,37.998
445,15.891,41.858
